,time,state,val
0,2019-08-18 08:28:37.250430,event,experiment start
0,2019-08-18 08:28:38.419656,event,robot initialized
0,2019-08-18 08:28:38.430847,event,experiment start
0,2019-08-18 08:28:47.462674,robots_setup,"{'red side': 'right', 'gender': 'f', 'blue rationality': 'rational', 'blue side': 'left', 'user id': '028', 'red rationality': 'irrational', 'first story': 'art'}
"
0,2019-08-18 08:28:47.520301,story0,"{'qq': [0, 1], 'qtype': 'rate'}"
0,2019-08-18 08:43:02.496507,person_input0,"{'a': 60, 'a_and_b': 100, 'b': 80}"
0,2019-08-18 08:43:05.214961,person_state0,"{'H': {'h_ab': -1.0, 'h_b': -1.0, 'h_a': -1.0}, 'state': {'1': array([[ 0.00429234+0.06973852j],
       [ 0.00429234+0.06973852j],
       [ 0.00429234+0.06973852j],
       [ 0.00429234+0.06973852j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.10052404+0.31762678j],
       [-0.10052404+0.31762678j],
       [-0.10052404+0.31762678j],
       [-0.10052404+0.31762678j]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]])}}"
0,2019-08-18 08:43:05.221837,story1,"{'qq': [2, 3], 'qtype': 'rate'}"
0,2019-08-18 08:43:13.408863,robot2,"{'intro': 'for_my_opinion', 'probs': [('c', 90), ('c_and_d', 10), ('d', 50)]}"
0,2019-08-18 08:43:41.159448,robot1,"{'intro': 'i_think_that', 'probs': [('c', 20), ('c_and_d', 90), ('d', 20)]}"
