,time,state,val
0,2019-08-18 10:26:28.764770,event,experiment start
0,2019-08-18 10:26:29.934522,event,robot initialized
0,2019-08-18 10:26:29.951793,event,experiment start
0,2019-08-18 10:27:01.471816,robots_setup,"{'red side': 'right', 'gender': 'm', 'blue rationality': 'rational', 'blue side': 'left', 'user id': '030', 'red rationality': 'irrational', 'first story': 'art'}
"
0,2019-08-18 10:27:01.530101,story0,"{'qq': [0, 1], 'qtype': 'rate'}"
0,2019-08-18 10:35:08.600902,person_input0,"{'a': 50, 'a_and_b': 80, 'b': 60}"
0,2019-08-18 10:35:11.878531,person_state0,"{'H': {'h_ab': -1.0, 'h_b': -1.0, 'h_a': 1.0}, 'state': {'1': array([[-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [ 0.00429234+0.06973852j],
       [ 0.00429234+0.06973852j],
       [ 0.00429234+0.06973852j],
       [ 0.00429234+0.06973852j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.10052404+0.31762678j],
       [-0.10052404+0.31762678j],
       [-0.10052404+0.31762678j],
       [-0.10052404+0.31762678j]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]])}}"
0,2019-08-18 10:35:11.886224,story1,"{'qq': [2, 3], 'qtype': 'rate'}"
0,2019-08-18 10:35:20.556272,robot1,"{'intro': 'my_opinion_is', 'probs': [('c', 30), ('c_and_d', 90), ('d', 30)]}"
0,2019-08-18 10:35:48.546632,robot2,"{'intro': 'i_think_that', 'probs': [('c', 90), ('c_and_d', 10), ('d', 80)]}"
0,2019-08-18 10:36:12.279242,robots_states1,"{'H': {1: {'h_d': [0.9000000000000001], 'h_b': -1.0, 'h_c': [0.10000000000000007], 'h_a': 1.0, 'h_bc': [-0.3999999999999999], 'h_ab': -1.0, 'h_ac': [-0.3999999999999999], 'h_ad': [-0.2], 'h_cd': [-0.3999999999999999], 'h_bd': [0.7000000000000002]}, 2: {'h_d': [-0.2], 'h_b': -1.0, 'h_c': [-0.3999999999999999], 'h_a': 1.0, 'h_bc': [-0.7], 'h_ab': -1.0, 'h_ac': [0.30000000000000004], 'h_ad': [-0.9], 'h_cd': [-1.0], 'h_bd': [-1.0]}}, 'state': {1: {'1': array([[-0.05942206-0.17736415j],
       [-0.05844323-0.17852534j],
       [-0.05137285-0.30258717j],
       [ 0.18758786-0.22435842j],
       [-0.05942206-0.17736415j],
       [-0.05844323-0.17852534j],
       [-0.05137285-0.30258717j],
       [ 0.18758786-0.22435842j],
       [-0.05942206-0.17736415j],
       [-0.05844323-0.17852534j],
       [-0.05137285-0.30258717j],
       [ 0.18758786-0.22435842j],
       [-0.05942206-0.17736415j],
       [-0.05844323-0.17852534j],
       [-0.05137285-0.30258717j],
       [ 0.18758786-0.22435842j]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]])}, 2: {'1': array([[0.05200904+0.1485276j ],
       [0.0332532 +0.25722034j],
       [0.05646246+0.21382956j],
       [0.18164705+0.2757894j ],
       [0.05200904+0.1485276j ],
       [0.0332532 +0.25722034j],
       [0.05646246+0.21382956j],
       [0.18164705+0.2757894j ],
       [0.05200904+0.1485276j ],
       [0.0332532 +0.25722034j],
       [0.05646246+0.21382956j],
       [0.18164705+0.2757894j ],
       [0.05200904+0.1485276j ],
       [0.0332532 +0.25722034j],
       [0.05646246+0.21382956j],
       [0.18164705+0.2757894j ]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]])}}, 'rankings': {1: [], 2: []}}"
0,2019-08-18 10:36:20.704156,person_agree1,"red
"
0,2019-08-18 10:36:20.707463,story2,"{'qq': [0, 3], 'qtype': 'rate'}"
0,2019-08-18 10:36:45.400533,person_input2,"{'a': 80, 'd': 30, 'a_and_d': 60}"
