,time,state,val
0,2019-08-18 14:32:00.558026,event,experiment start
0,2019-08-18 14:32:01.741914,event,robot initialized
0,2019-08-18 14:32:01.763863,event,experiment start
0,2019-08-18 14:32:13.483614,robots_setup,"{'red side': 'right', 'gender': 'm', 'blue rationality': 'rational', 'blue side': 'left', 'user id': '034', 'red rationality': 'irrational', 'first story': 'art'}
"
0,2019-08-18 14:32:13.535259,story0,"{'qq': [0, 1], 'qtype': 'rate'}"
0,2019-08-18 14:34:38.348438,person_input0,"{'a': 10, 'a_and_b': 60, 'b': 30}"
0,2019-08-18 14:34:41.342129,person_state0,"{'H': {'h_ab': 1.0, 'h_b': 1.0, 'h_a': -1.0}, 'state': {'1': array([[-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.12277901+0.03071752j],
       [-0.12277901+0.03071752j],
       [-0.12277901+0.03071752j],
       [-0.12277901+0.03071752j],
       [-0.14561662-0.34358155j],
       [-0.14561662-0.34358155j],
       [-0.14561662-0.34358155j],
       [-0.14561662-0.34358155j]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]])}}"
0,2019-08-18 14:34:41.349378,story1,"{'qq': [2, 3], 'qtype': 'rate'}"
0,2019-08-18 14:34:49.644253,robot1,"{'intro': 'i_think_that', 'probs': [('c', 20), ('c_and_d', 90), ('d', 20)]}"
0,2019-08-18 14:35:18.418939,robot2,"{'intro': 'it_seems_that', 'probs': [('c', 90), ('c_and_d', 10), ('d', 50)]}"
0,2019-08-18 14:35:42.892445,robots_states1,"{'H': {1: {'h_d': [0.8], 'h_b': 1.0, 'h_c': [0.8], 'h_a': -1.0, 'h_bc': [0.9000000000000001], 'h_ab': 1.0, 'h_ac': [0.8], 'h_ad': [0.9000000000000001], 'h_cd': [0.7000000000000002], 'h_bd': [0.8]}, 2: {'h_d': [0.0], 'h_b': 1.0, 'h_c': [-0.3999999999999999], 'h_a': -1.0, 'h_bc': [-0.8], 'h_ab': 1.0, 'h_ac': [0.4000000000000001], 'h_ad': [-0.9], 'h_cd': [0.20000000000000015], 'h_bd': [-1.0]}}, 'state': {1: {'1': array([[-0.01976805+0.23731857j],
       [-0.02847102+0.24984432j],
       [-0.02847102+0.24984432j],
       [-0.06399998+0.25045471j],
       [-0.01976805+0.23731857j],
       [-0.02847102+0.24984432j],
       [-0.02847102+0.24984432j],
       [-0.06399998+0.25045471j],
       [-0.01976805+0.23731857j],
       [-0.02847102+0.24984432j],
       [-0.02847102+0.24984432j],
       [-0.06399998+0.25045471j],
       [-0.01976805+0.23731857j],
       [-0.02847102+0.24984432j],
       [-0.02847102+0.24984432j],
       [-0.06399998+0.25045471j]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]])}, 2: {'1': array([[ 0.08555122-0.21021999j],
       [ 0.09868172-0.25171965j],
       [ 0.08555122-0.21021999j],
       [-0.04784817-0.26755706j],
       [ 0.08555122-0.21021999j],
       [ 0.09868172-0.25171965j],
       [ 0.08555122-0.21021999j],
       [-0.04784817-0.26755706j],
       [ 0.08555122-0.21021999j],
       [ 0.09868172-0.25171965j],
       [ 0.08555122-0.21021999j],
       [-0.04784817-0.26755706j],
       [ 0.08555122-0.21021999j],
       [ 0.09868172-0.25171965j],
       [ 0.08555122-0.21021999j],
       [-0.04784817-0.26755706j]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]])}}, 'rankings': {1: [], 2: []}}"
0,2019-08-18 14:35:55.411390,person_agree1,"blue
"
0,2019-08-18 14:35:55.415001,story2,"{'qq': [0, 3], 'qtype': 'rate'}"
0,2019-08-18 14:36:18.707529,person_input2,"{'a': 10, 'a_and_d': 90, 'd': 50}"
