,time,state,val
0,2019-08-22 06:13:30.937838,event,experiment start
0,2019-08-22 06:13:32.109844,event,robot initialized
0,2019-08-22 06:13:32.121390,event,experiment start
0,2019-08-22 06:13:42.542800,robots_setup,"{'red side': 'right', 'gender': 'm', 'blue rationality': 'irrational', 'blue side': 'left', 'user id': '036', 'red rationality': 'rational', 'first story': 'suspect'}
"
0,2019-08-22 06:13:42.589615,story0,"{'qq': [0, 1], 'qtype': 'rate'}"
0,2019-08-22 06:15:25.503065,person_input0,"{'a': 90, 'a_and_b': 70, 'b': 30}"
0,2019-08-22 06:15:28.668066,person_state0,"{'H': {'h_ab': -1.0, 'h_b': 1.0, 'h_a': -1.0}, 'state': {'1': array([[-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [-0.09572614+0.24062343j],
       [ 0.00429234+0.06973852j],
       [ 0.00429234+0.06973852j],
       [ 0.00429234+0.06973852j],
       [ 0.00429234+0.06973852j],
       [-0.10052404+0.31762678j],
       [-0.10052404+0.31762678j],
       [-0.10052404+0.31762678j],
       [-0.10052404+0.31762678j]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]])}}"
0,2019-08-22 06:15:28.678239,story1,"{'qq': [2, 3], 'qtype': 'rate'}"
0,2019-08-22 06:15:40.435404,robot1,"{'intro': 'it_seems_that', 'probs': [('c', 50), ('c_and_d', 10), ('d', 90)]}"
0,2019-08-22 06:16:09.968353,robot2,"{'intro': 'my_opinion_is', 'probs': [('c', 30), ('c_and_d', 90), ('d', 20)]}"
