,time,state,val
0,2019-08-18 13:52:50.398894,event,experiment start
0,2019-08-18 13:52:51.572343,event,robot initialized
0,2019-08-18 13:52:51.582205,event,experiment start
0,2019-08-18 13:53:01.237497,robots_setup,"{'red side': 'right', 'gender': 'm', 'blue rationality': 'rational', 'blue side': 'left', 'user id': '033', 'red rationality': 'irrational', 'first story': 'art'}
"
0,2019-08-18 13:53:01.288489,story0,"{'qq': [0, 1], 'qtype': 'rate'}"
0,2019-08-18 14:04:03.119172,person_input0,"{'a': 20, 'a_and_b': 50, 'b': 90}"
0,2019-08-18 14:04:06.094210,person_state0,"{'H': {'h_ab': 1.0, 'h_b': -1.0, 'h_a': -1.0}, 'state': {'1': array([[-0.12277901+0.03071752j],
       [-0.12277901+0.03071752j],
       [-0.12277901+0.03071752j],
       [-0.12277901+0.03071752j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.14561662-0.34358155j],
       [-0.14561662-0.34358155j],
       [-0.14561662-0.34358155j],
       [-0.14561662-0.34358155j]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]])}}"
0,2019-08-18 14:04:06.101545,story1,"{'qq': [2, 3], 'qtype': 'rate'}"
0,2019-08-18 14:04:14.320518,robot2,"{'intro': 'i_think_that', 'probs': [('c', 90), ('c_and_d', 30), ('d', 90)]}"
0,2019-08-18 14:04:42.053993,robot1,"{'intro': 'i_think_that', 'probs': [('c', 30), ('c_and_d', 90), ('d', 20)]}"
0,2019-08-18 14:05:06.614988,robots_states1,"{'H': {1: {'h_d': [0.20000000000000015], 'h_b': -1.0, 'h_c': [0.9000000000000001], 'h_a': -1.0, 'h_bc': [0.9000000000000001], 'h_ab': 1.0, 'h_ac': [0.8], 'h_ad': [0.8], 'h_cd': [0.7000000000000002], 'h_bd': [0.9000000000000001]}, 2: {'h_d': [-0.5], 'h_b': -1.0, 'h_c': [-0.6], 'h_a': -1.0, 'h_bc': [0.30000000000000004], 'h_ab': 1.0, 'h_ac': [-0.8], 'h_ad': [-0.9], 'h_cd': [0.0], 'h_bd': [0.20000000000000015]}}, 'state': {1: {'1': array([[-0.11006997+0.15914538j],
       [-0.1200433 +0.26106243j],
       [-0.11203786+0.16112144j],
       [-0.20880093+0.2188217j ],
       [-0.11006997+0.15914538j],
       [-0.1200433 +0.26106243j],
       [-0.11203786+0.16112144j],
       [-0.20880093+0.2188217j ],
       [-0.11006997+0.15914538j],
       [-0.1200433 +0.26106243j],
       [-0.11203786+0.16112144j],
       [-0.20880093+0.2188217j ],
       [-0.11006997+0.15914538j],
       [-0.1200433 +0.26106243j],
       [-0.11203786+0.16112144j],
       [-0.20880093+0.2188217j ]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]])}, 2: {'1': array([[0.24277798-0.05965612j],
       [0.24277798-0.05965612j],
       [0.24277798-0.05965612j],
       [0.24277798-0.05965612j],
       [0.24277798-0.05965612j],
       [0.24277798-0.05965612j],
       [0.24277798-0.05965612j],
       [0.24277798-0.05965612j],
       [0.24277798-0.05965612j],
       [0.24277798-0.05965612j],
       [0.24277798-0.05965612j],
       [0.24277798-0.05965612j],
       [0.24277798-0.05965612j],
       [0.24277798-0.05965612j],
       [0.24277798-0.05965612j],
       [0.24277798-0.05965612j]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]])}}, 'rankings': {1: [], 2: []}}"
0,2019-08-18 14:05:18.231021,person_agree1,"blue
"
0,2019-08-18 14:05:18.236158,story2,"{'qq': [0, 3], 'qtype': 'rate'}"
0,2019-08-18 14:06:02.079298,person_input2,"{'a': 90, 'a_and_d': 30, 'd': 50}"
0,2019-08-18 14:06:04.308475,person_state2,"{'H': {'h_ab': 1.0, 'h_b': -1.0, 'h_a': -1.0}, 'state': {'1': array([[-0.12277901+0.03071752j],
       [-0.12277901+0.03071752j],
       [-0.12277901+0.03071752j],
       [-0.12277901+0.03071752j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.14561662-0.34358155j],
       [-0.14561662-0.34358155j],
       [-0.14561662-0.34358155j],
       [-0.14561662-0.34358155j]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]]), '2': array([[-0.12277901+0.03071752j],
       [-0.00157739-0.21762846j],
       [-0.12277901+0.03071752j],
       [-0.00157739-0.21762846j],
       [-0.12277901+0.03071752j],
       [-0.00157739-0.21762846j],
       [-0.12277901+0.03071752j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.14561662-0.34358155j],
       [-0.00157739-0.21762846j],
       [-0.14561662-0.34358155j],
       [-0.00157739-0.21762846j],
       [-0.14561662-0.34358155j],
       [-0.00157739-0.21762846j],
       [-0.14561662-0.34358155j]])}}"
0,2019-08-18 14:06:04.315890,story3,"{'qq': [1, 2], 'qtype': 'rank'}"
0,2019-08-18 14:06:04.341860,U_matrix3,"                              0  ...                          15
0     (-0.06589111109180565+0j)  ...   (-0.33993285552735086+0j)
1    (-0.017572726462603366+0j)  ...    (0.07397272733231337+0j)
2     (-0.36039116290474177+0j)  ...    (-0.2389363929600936+0j)
3     (-0.04788826367881562+0j)  ...  (-0.025365424115581375+0j)
4     (-0.27470603859208365+0j)  ...    (0.09576393166488942+0j)
5      (0.14628157534727762+0j)  ...    (0.06641746337432453+0j)
6      (0.38647960785551994+0j)  ...     (-0.236548815936588+0j)
7       (-0.563307583985259+0j)  ...    (0.04186258122363945+0j)
8       (0.1279603745547232+0j)  ...     (0.1499922946417515+0j)
9    (0.0037268847519992057+0j)  ...    (-0.4043986385713024+0j)
10  (-0.0009348301975132213+0j)  ...   (-0.04697327841788808+0j)
11     (0.11576707572422458+0j)  ...    (0.19132898309027452+0j)
12     (0.19688123524904497+0j)  ...    (0.19154252095141094+0j)
13    (0.042414283930637835+0j)  ...     (0.1656971758165065+0j)
14    (-0.47842291951892363+0j)  ...    (0.15573617614286914+0j)
15     (0.01976201473347221+0j)  ...      (0.660834920910281+0j)

[16 rows x 16 columns]"
0,2019-08-18 14:06:15.655442,robot1,"{'intro': 'for_my_opinion', 'probs': [('b', 50), ('b_and_c', 40), ('c', 70)]}"
0,2019-08-18 14:06:44.437756,robot2,"{'intro': 'for_my_opinion', 'probs': [('b', 50), ('b_and_c', 50), ('c', 80)]}"
0,2019-08-18 14:07:09.292965,robots_states3,"{'H': {1: {'h_d': [0.20000000000000015], 'h_b': -1.0, 'h_c': [0.9000000000000001], 'h_a': -1.0, 'h_bc': [0.9000000000000001], 'h_ab': 1.0, 'h_ac': [0.8], 'h_ad': [0.8], 'h_cd': [0.7000000000000002], 'h_bd': [0.9000000000000001]}, 2: {'h_d': [-0.5], 'h_b': -1.0, 'h_c': [-0.6], 'h_a': -1.0, 'h_bc': [0.30000000000000004], 'h_ab': 1.0, 'h_ac': [-0.8], 'h_ad': [-0.9], 'h_cd': [0.0], 'h_bd': [0.20000000000000015]}}, 'state': {1: {'1': array([[ 0.09133449-0.21985185j],
       [-0.08142448+0.23453079j],
       [ 0.0471411 -0.01922011j],
       [-0.12225016+0.19207842j],
       [-0.23427903+0.27313638j],
       [-0.21600417+0.31790702j],
       [-0.08767242+0.06020358j],
       [-0.01820297-0.0130647j ],
       [-0.17246075+0.24259284j],
       [-0.09057874+0.18465124j],
       [-0.04969637+0.11671977j],
       [-0.23457733+0.34674201j],
       [-0.2531214 +0.3005535j ],
       [-0.16133501+0.17687347j],
       [-0.00808124-0.02269073j],
       [-0.05826341-0.01722267j]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]]), '2': array([[-0.16688721-0.04233061j],
       [ 0.05973683+0.05742484j],
       [-0.18613196+0.16750961j],
       [ 0.02254726+0.05685813j],
       [ 0.15625482-0.19243341j],
       [-0.14362328-0.10678714j],
       [ 0.19388974-0.09317927j],
       [ 0.45628689+0.10422273j],
       [-0.04181647+0.1020158j ],
       [ 0.18422029-0.02663448j],
       [ 0.07353003+0.00511418j],
       [ 0.05395976+0.17840271j],
       [-0.12634371-0.13935644j],
       [-0.14578301+0.0035539j ],
       [ 0.43115706+0.14422978j],
       [ 0.38697187+0.19535442j]])}, 2: {'1': array([[-0.21152082+0.05197552j],
       [ 0.19216193-0.04721859j],
       [-0.02588577+0.00636073j],
       [ 0.18394934-0.04520057j],
       [ 0.36248011-0.08906968j],
       [ 0.37963044-0.09328391j],
       [ 0.10988241-0.02700063j],
       [-0.1275823 +0.0313499j ],
       [ 0.27724048-0.06812434j],
       [ 0.23161912-0.05691413j],
       [ 0.20316113-0.04992135j],
       [ 0.38692343-0.09507596j],
       [ 0.4185273 -0.10284176j],
       [ 0.16115819-0.03960026j],
       [ 0.01861101-0.00457315j],
       [ 0.00662267-0.00162734j]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]]), '2': array([[ 0.08239954+0.03120876j],
       [ 0.42396507-0.00158259j],
       [-0.21847487+0.07708293j],
       [-0.03635054-0.10886253j],
       [ 0.02199037-0.23361312j],
       [ 0.12868417-0.08127129j],
       [ 0.22249022-0.18515985j],
       [-0.02093899-0.16909493j],
       [ 0.38293776-0.02503678j],
       [ 0.31720895-0.08899242j],
       [ 0.04630044-0.15443523j],
       [ 0.20271302-0.26097433j],
       [ 0.20917152-0.15812993j],
       [ 0.02538582-0.02924742j],
       [-0.01655821-0.26283929j],
       [ 0.02467633-0.1528802j ]])}}, 'rankings': {1: [], 2: []}}"
0,2019-08-18 14:07:18.551251,person_agree3,"blue
"
0,2019-08-18 14:08:34.719837,person_rankings3,"{'a': '9', 'c': '5', 'b': '3', 'd': '7', 'c_and_d': '6', 'b_and_d': '4', 'a_and_b': '2', 'a_and_d': '8', 'b_and_c': '1'}
"
0,2019-08-18 14:08:42.065460,robot2,"{'rankings': ['b_and_d', 'a_and_d', 'a_and_c', 'c_and_d', 'b_and_c', 'a_and_b', 'a', 'b', 'c', 'd'], 'intro': 'my_ranking_is'}"
0,2019-08-18 14:08:57.532491,robot1,"{'rankings': ['b', 'c_and_d', 'c', 'a_and_c', 'd', 'b_and_c', 'a', 'b_and_d', 'a_and_b', 'a_and_d'], 'intro': 'my_ranking_is'}"
