,time,state,val
0,2019-08-06 08:56:54.759031,event,experiment start
0,2019-08-06 08:56:55.943271,event,robot initialized
0,2019-08-06 08:56:55.954494,event,experiment start
0,2019-08-06 08:57:10.614609,robots_setup,"{'red side': 'right', 'gender': 'm', 'blue rationality': 'irrational', 'blue side': 'left', 'user id': '004', 'red rationality': 'rational', 'first story': 'suspect'}
"
0,2019-08-06 08:57:10.681587,story0,"{'qq': [0, 1], 'qtype': 'rate'}"
0,2019-08-06 09:16:57.792680,person_input0,"{'a': 50, 'a_and_b': 30, 'b': 50}"
0,2019-08-06 09:17:00.635263,person_state0,"{'H': {'h_ab': 1.0, 'h_b': -1.0, 'h_a': 1.0}, 'state': {'1': array([[-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.12277901+0.03071752j],
       [-0.12277901+0.03071752j],
       [-0.12277901+0.03071752j],
       [-0.12277901+0.03071752j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.14561662-0.34358155j],
       [-0.14561662-0.34358155j],
       [-0.14561662-0.34358155j],
       [-0.14561662-0.34358155j]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]])}}"
0,2019-08-06 09:17:00.642948,story1,"{'qq': [2, 3], 'qtype': 'rate'}"
0,2019-08-06 09:17:11.992898,robot1,"{'intro': 'for_my_opinion', 'probs': [('c', 100), ('c_and_d', 10), ('d', 30)]}"
0,2019-08-06 09:17:39.270557,robot2,"{'intro': 'my_opinion_is', 'probs': [('c', 30), ('c_and_d', 100), ('d', 30)]}"
0,2019-08-06 09:18:04.073021,robots_states1,"{'H': {1: {'h_d': [0.10000000000000007], 'h_b': -1.0, 'h_c': [-0.5], 'h_a': 1.0, 'h_bc': [-0.7], 'h_ab': 1.0, 'h_ac': [0.0], 'h_ad': [-0.8], 'h_cd': [0.10000000000000007], 'h_bd': [0.0]}, 2: {'h_d': [0.9000000000000001], 'h_b': -1.0, 'h_c': [0.9000000000000001], 'h_a': 1.0, 'h_bc': [0.8], 'h_ab': 1.0, 'h_ac': [-0.5], 'h_ad': [0.7000000000000002], 'h_cd': [0.8], 'h_bd': [-0.3999999999999999]}}, 'state': {1: {'1': array([[0.14601598-0.19766904j],
       [0.15693795-0.21888748j],
       [0.14668917-0.18984374j],
       [0.08406387-0.22899769j],
       [0.14601598-0.19766904j],
       [0.15693795-0.21888748j],
       [0.14668917-0.18984374j],
       [0.08406387-0.22899769j],
       [0.14601598-0.19766904j],
       [0.15693795-0.21888748j],
       [0.14668917-0.18984374j],
       [0.08406387-0.22899769j],
       [0.14601598-0.19766904j],
       [0.15693795-0.21888748j],
       [0.14668917-0.18984374j],
       [0.08406387-0.22899769j]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]])}, 2: {'1': array([[ 0.00807936+0.24604084j],
       [ 0.00314064+0.25168789j],
       [ 0.00314064+0.25168789j],
       [-0.00161661+0.25036513j],
       [ 0.00807936+0.24604084j],
       [ 0.00314064+0.25168789j],
       [ 0.00314064+0.25168789j],
       [-0.00161661+0.25036513j],
       [ 0.00807936+0.24604084j],
       [ 0.00314064+0.25168789j],
       [ 0.00314064+0.25168789j],
       [-0.00161661+0.25036513j],
       [ 0.00807936+0.24604084j],
       [ 0.00314064+0.25168789j],
       [ 0.00314064+0.25168789j],
       [-0.00161661+0.25036513j]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]])}}, 'rankings': {1: [], 2: []}}"
0,2019-08-06 09:18:42.912058,person_agree1,"blue
"
0,2019-08-06 09:18:42.916915,story2,"{'qq': [0, 2], 'qtype': 'rate'}"
0,2019-08-06 09:19:15.808429,person_input2,"{'a': 50, 'c': 60, 'a_and_c': 30}"
0,2019-08-06 09:19:18.251038,person_state2,"{'H': {'h_ab': 1.0, 'h_b': -1.0, 'h_a': 1.0}, 'state': {'1': array([[-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.12277901+0.03071752j],
       [-0.12277901+0.03071752j],
       [-0.12277901+0.03071752j],
       [-0.12277901+0.03071752j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.14561662-0.34358155j],
       [-0.14561662-0.34358155j],
       [-0.14561662-0.34358155j],
       [-0.14561662-0.34358155j]]), '0': array([[0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25],
       [0.25]]), '2': array([[-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.00157739-0.21762846j],
       [-0.12277901+0.03071752j],
       [-0.12277901+0.03071752j],
       [-0.14561662-0.34358155j],
       [-0.14561662-0.34358155j],
       [-0.12277901+0.03071752j],
       [-0.12277901+0.03071752j],
       [-0.14561662-0.34358155j],
       [-0.14561662-0.34358155j]])}}"
0,2019-08-06 09:19:18.258308,story3,"{'qq': [1, 3], 'qtype': 'rank'}"
0,2019-08-06 09:19:18.284186,U_matrix3,"                               0  ...                         15
0        (0.5702683705124533+0j)  ...  (-0.11814209591443159+0j)
1      (-0.27778465562547006+0j)  ...   (-0.3313475453098616+0j)
2       (0.29809173786941834+0j)  ...  (-0.08455945370463229+0j)
3      (-0.01626174728924329+0j)  ...  (-0.07068354379546989+0j)
4       (0.27873673460503195+0j)  ...  (-0.12020099298578321+0j)
5        (0.1911374456864327+0j)  ...   (0.14871010848297384+0j)
6       (0.21988008350791471+0j)  ...  (-0.14094742892705195+0j)
7      (-0.10846396374596289+0j)  ...  (-0.01706379431722719+0j)
8      (-0.37893630397777855+0j)  ...   (0.03694133375234747+0j)
9       (0.20977192790774785+0j)  ...   (0.25152189540627773+0j)
10     (0.014584177825845514+0j)  ...  (-0.26781303459268896+0j)
11       (-0.177331681928705+0j)  ...   (-0.3865862727086839+0j)
12   (-0.0003883809485272253+0j)  ...   (0.07365899769696177+0j)
13  (-0.00041001948054378377+0j)  ...    (0.3629129670757887+0j)
14      (0.31634205295882034+0j)  ...  (0.018550255598527562+0j)
15     (-0.12181275741698387+0j)  ...    (0.6197646195043555+0j)

[16 rows x 16 columns]"
